gender,candy,flavor,age,ethnicity,shirt color
M,reeses,N/A,26,white,red
M,kitkat,N/A,32,black,green
F,airhead,double mystery,26,mixed,white
M,starburst,red,26,white,red
F,reeses,N/A,31,white,black
F,starburst,red,26,asian,blue
F,hersheys,milk,27,asian,white
M,airhead,double mystery,23,white,black
M,starburst,pink,26,asian,white
M,reeses,N/A,30,asian,pink
F,rolo,N/A,26,mixed,white
F,kitkat,N/A,41,mixed,blue
F,airhead,strawberry/watermelon,24,white,pink
F,kitkat,N/A,21,asian,blue
F,kitkat,N/A,18,asian,white
F,kitkat,N/A,33,white,blue
M,kitkat,N/A,23,asian,gray
M,rolo,N/A,19,white,black
F,rolo,N/A,25,white,white
F,airhead,,28,white,blue
M,hersheys,,28,white,black
M,reeses,N/A,21,hispanic,black
M,reeses,N/A,21,hispanic,black
M,kitkat,N/A,26,white,red
M,kitkat,N/A,26,white,red
M,airhead,strawberry/watermelon,32,black,green
M,airhead,,24,white,purple
M,hersheys,dark,35,pacific islander,black
F,hersheys,milk,34,asian,red
F,reeses,N/A,24,white,pink
M,airhead,,29,white,blue
M,hersheys,milk,23,asian,green
M,starburst,,31,white,blue
F,kitkat,N/A,24,asian,purple
F,rolo,N/A,24,white,white
F,rolo,N/A,24,white,white
F,rolo,N/A,24,white,white
F,airhead,,27,asian,green
F,reeses,N/A,24,white,white
F,hersheys,dark,,white,blue
F,hersheys,dark,24,white,pink
M,starburst,orange,33,white,blue
M,kitkat,N/A,26,hispanic,blue
F,starburst,pink,28,white,white
,reeses,N/A,,mixed,orange
M,kitkat,N/A,30,asian,pink
M,starburst,,20,mixed,beige
F,hersheys,milk,21,asian,black
M,reeses,N/A,23,white,white
M,kitkat,N/A,32,black,green
M,kitkat,N/A,23,hispanic,gray
F,hersheys,milk,24,white,pink
M,starburst,pink,27,white,black
M,hersheys,dark,44,white,brown
M,airhead,double mystery,23,white,black
F,airhead,strawberry/watermelon,24,white,pink
M,kitkat,N/A,26,white,red
M,hersheys,milk,23,asian,green
M,hersheys,milk,23,asian,green
M,starburst,orange,26,white,red
M,airhead,,24,white,purple
F,kitkat,N/A,,asian,blue
M,reeses,N/A,21,hispanic,black
F,reeses,N/A,25,indian,white
M,reeses,N/A,44,mixed,orange
F,hersheys,,28,white,blue
M,starburst,,20,mixed,white
F,kitkat,N/A,25,white,white
M,hersheys,dark,23,white,blue
F,kitkat,N/A,21,asian,blue
M,reeses,N/A,29,mixed,purple
M,hersheys,,25,white,blue
F,rolo,N/A,26,mixed,black
F,rolo,N/A,28,white,blue
F,rolo,N/A,28,white,blue
F,rolo,N/A,28,white,blue
M,hersheys,,23,asian,blue
M,hersheys,,23,asian,blue
M,airhead,blueberry/raspberry,32,black,brown
M,airhead,blueberry/raspberry,32,black,brown
F,reeses,N/A,24,white,pink
M,kitkat,N/A,30,asian,white
F,reeses,N/A,18,asian,red
M,airhead,double mystery,25,asian,gray
F,reeses,N/A,25,indian,blue
F,hersheys,dark,25,indian,blue
M,reeses,N/A,21,hispanic,black
M,hersheys,milk,44,white,black
F,kitkat,N/A,21,asian,white
F,kitkat,N/A,29,white,blue
